X1,X2,X3,X4,Y
1564.6886391569446,1172.713775059339,1108.6332514940102,979.382054056519,938.9197626562727
1172.713775059339,1108.6332514940102,979.382054056519,938.9197626562727,921.4282287737924
1108.6332514940102,979.382054056519,938.9197626562727,921.4282287737924,1021.1885756429806
979.382054056519,938.9197626562727,921.4282287737924,1021.1885756429806,1329.3950586986577
938.9197626562727,921.4282287737924,1021.1885756429806,1329.3950586986577,1367.5143871789837
921.4282287737924,1021.1885756429806,1329.3950586986577,1367.5143871789837,1546.8828051848338
1021.1885756429806,1329.3950586986577,1367.5143871789837,1546.8828051848338,1885.656987390896
1329.3950586986577,1367.5143871789837,1546.8828051848338,1885.656987390896,2056.7230576708434
1367.5143871789837,1546.8828051848338,1885.656987390896,2056.7230576708434,1633.7978457512254
1546.8828051848338,1885.656987390896,2056.7230576708434,1633.7978457512254,1682.9497862437643
1885.656987390896,2056.7230576708434,1633.7978457512254,1682.9497862437643,1734.7906693753282
2056.7230576708434,1633.7978457512254,1682.9497862437643,1734.7906693753282,1798.7301621684007
1633.7978457512254,1682.9497862437643,1734.7906693753282,1798.7301621684007,1837.024690691428
1682.9497862437643,1734.7906693753282,1798.7301621684007,1837.024690691428,1735.3579851037257
1734.7906693753282,1798.7301621684007,1837.024690691428,1735.3579851037257,1828.417334475083
1798.7301621684007,1837.024690691428,1735.3579851037257,1828.417334475083,1866.1676298210978
1837.024690691428,1735.3579851037257,1828.417334475083,1866.1676298210978,1814.8241387888052
1735.3579851037257,1828.417334475083,1866.1676298210978,1814.8241387888052,1872.9121800210946
1828.417334475083,1866.1676298210978,1814.8241387888052,1872.9121800210946,1632.7909241523473
1866.1676298210978,1814.8241387888052,1872.9121800210946,1632.7909241523473,1358.8226177517784
1814.8241387888052,1872.9121800210946,1632.7909241523473,1358.8226177517784,1028.6518018198108
1872.9121800210946,1632.7909241523473,1358.8226177517784,1028.6518018198108,981.7742540942968
1632.7909241523473,1358.8226177517784,1028.6518018198108,981.7742540942968,835.9329139622193
1358.8226177517784,1028.6518018198108,981.7742540942968,835.9329139622193,731.67485366786
1028.6518018198108,981.7742540942968,835.9329139622193,731.67485366786,734.4712191239907
981.7742540942968,835.9329139622193,731.67485366786,734.4712191239907,636.3298547866916
835.9329139622193,731.67485366786,734.4712191239907,636.3298547866916,732.7424046339789
731.67485366786,734.4712191239907,636.3298547866916,732.7424046339789,936.3172063622154
734.4712191239907,636.3298547866916,732.7424046339789,936.3172063622154,1213.5139945260287
636.3298547866916,732.7424046339789,936.3172063622154,1213.5139945260287,1288.276478135961
732.7424046339789,936.3172063622154,1213.5139945260287,1288.276478135961,1522.847520110156
